Version,3.0.0,,,,,,,,,
setCompID,setID,setType,partID,label,enumeration,status,firstReleased,lastUpdated,changes,notes
capacityUnitSet_hUn,capacityUnitSet,unitSets,hUn,See Header for Unit,4,active,3.0.0,3.0.0,,
cladeAnSet_pangolinSoft,cladeAnSet,mmaSets,pangolinSoft,Pangolin Software,1,active,2.3.0,2.3.0,,
cladeAnSet_nextstrain,cladeAnSet,mmaSets,nextstrain,Nextstrain Software,2,active,2.3.0,2.3.0,,
cladeAnSet_iqTree,cladeAnSet,mmaSets,iqTree,IQ-TREE Software,3,active,2.3.0,2.3.0,,
cladeAnSet_beast,cladeAnSet,mmaSets,beast,Bayesian Evolutionary Analysis by Sampling Trees (BEAST) Software,4,active,2.3.0,2.3.0,,
cladeAnSet_phyloSuite,cladeAnSet,mmaSets,phyloSuite,PhyloSuite Software,5,active,2.3.0,2.3.0,,
cladeAnSet_raxML,cladeAnSet,mmaSets,raxML,RaxML Software,6,active,2.3.0,2.3.0,,
cladeAnSet_phyML,cladeAnSet,mmaSets,phyML,PhyML Software,7,active,2.3.0,2.3.0,,
cladeAnSet_stamp,cladeAnSet,mmaSets,stamp,Statistical Analysis of Metagenomic Profiles (STAMP) Software,8,active,2.3.0,2.3.0,,
cladeAnSet_clonalFrameML,cladeAnSet,mmaSets,clonalFrameML,ClonalFrameML Software,9,active,2.3.0,2.3.0,,
cladeAnSet_treeTime,cladeAnSet,mmaSets,treeTime,TreeTime Software,10,active,2.3.0,2.3.0,,
cladeAnSet_snapp,cladeAnSet,mmaSets,snapp,SNAPP Software,11,active,2.3.0,2.3.0,,
cladeAnSet_mash,cladeAnSet,mmaSets,mash,mash Software,12,active,2.3.0,2.3.0,,
cladeAnSet_strainPhIAb,cladeAnSet,mmaSets,strainPhIAb,StrainPhlAn Software,13,active,2.3.0,2.3.0,,
cladeAnSet_usher,cladeAnSet,mmaSets,usher,Ultrafast Sample placement on Existing tRees (UShER) Software,14,active,2.3.0,2.3.0,,
cladeAnSet_mrBayes,cladeAnSet,mmaSets,mrBayes,MrBayes Software,15,active,2.3.0,2.3.0,,
cladeAnSet_phyloPhIAn,cladeAnSet,mmaSets,phyloPhIAn,PhyloPhlAn Software,16,active,2.3.0,2.3.0,,
cladeAnSet_orthoFinder,cladeAnSet,mmaSets,orthoFinder,OrthoFinder Software,17,active,2.3.0,2.3.0,,
cladeAnSet_taxonium,cladeAnSet,mmaSets,taxonium,Taxonium Software,18,active,2.3.0,2.3.0,,
cladeAnSet_lineage,cladeAnSet,mmaSets,lineage,LINEAGE Software,19,active,2.3.0,2.3.0,,
collAppxSet_morn,collAppxSet,mmaSets,morn,Morning,1,active,2.3.0,2.3.0,,
