"Target","Mutation","X3","X4","Target","Allele","X7","X8","Target","Variant","X11","X12","Genetic.Unit.Set","X14","X15","saMaterial","(sample.material,.'sample.type')","X18","Sample.Collection","X20","X21","Fraction.analyzed","X23","X24","methodID","(PCR//Sequencing)","X27","X28","pcrSet","(for.partID.=.pcrmeth,.label.=.PCR.method)","X31","scriptSet","(for.partID.=.scriptVersion,.label.=.Script.version)","X34","seqStratSet","(for.partID.=.seqStrat,.label.=.Sequencing.strategy)","X37","seqSelSet","(for.partID.=.seqSel,.label.=.Sequencing.selection)","X40","seqLaySet","(for.partID.=.seqLay,.label.=.Sequencing.layout)","X43","Aggregation","X45","X46","target.type","X48","X49","sample.shed","X51","X52","Airport","X54","X55","methodID","(PCR//Sequencing)","X58","Target","X60","X61","X62"
"g496s ","g496s omicron-variant gene target","g496s omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACE","Arrecife/Lanzarote","Spain",NA,NA,NA,"g339d","g339d omicron-variant gene target","g339d omicron-variant gene target","geneticUnitSet"
"g662s","g662s delta-variant gene target","g662s delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATH","Athens�- Elefth�rios Veniz�los International Airport","Greece",NA,NA,NA,"g496s","g496s omicron-variant gene target","g496s omicron-variant gene target","geneticUnitSet"
"i1566v ","i1566v omicron-variant gene target","i1566v omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEW","Athens, Hellinikon Airport","Greece",NA,NA,NA,"g662s","g662s delta-variant gene target","g662s delta-variant gene target","geneticUnitSet"
"i3758v ","i3758v omicron-variant gene target","i3758v omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGB","Augsburg - Augsbur gAirport","Germany",NA,NA,NA,"i1566v","i1566v omicron-variant gene target","i1566v omicron-variant gene target","geneticUnitSet"
"i82t","i82t delta-variant gene target","i82t delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUR","Aurillac","France",NA,NA,NA,"i3758v","i3758v omicron-variant gene target","i3758v omicron-variant gene target","geneticUnitSet"
"ip2ip4","Combined ip2 and ip4 sars-cov-2 gene target","Combined ip2 and ip4 sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BJZ","Badajoz","Spain",NA,NA,NA,"i82t","i82t delta-variant gene target","i82t delta-variant gene target","geneticUnitSet"
"k856r ","k856r omicron-variant gene target","k856r omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCN","Barcelona","Spain",NA,NA,NA,"ip2ip4","Combined ip2 and ip4 sars-cov-2 gene target","Combined ip2 and ip4 sars-cov-2 gene target","geneticUnitSet"
"l452r","l452r delta-variant gene target","l452r delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BDU","Bardufoss","Norway",NA,NA,NA,"k856r","k856r omicron-variant gene target","k856r omicron-variant gene target","geneticUnitSet"
"l981f ","l981f omicron-variant gene target","l981f omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRI","Bari","Italy",NA,NA,NA,"l452r","l452r delta-variant gene target","l452r delta-variant gene target","geneticUnitSet"
"n1n2","Combined N1 and N2 sars-cov-2 gene target","Combined N1 and N2 sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRR","Barra (the famous tidal beach landing)","United Kingdom",NA,NA,NA,"l981f","l981f omicron-variant gene target","l981f omicron-variant gene target","geneticUnitSet"
