sampleDate,siteID,siteName,reportDate,covN1_nPMMoV_meanMnNr,covN1_nPMMoV_sdNr,covN2_nPMMoV_meanMnNr,covN2_nPMMoV_sdNr,nPPMoV_Ct_mean,qualityFlag,testB117,detectB117,fractionB117,fractionB117_sd,N1_N2_avg_L,viral_confidence
2020-10-08,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00026,0.00005,0.00056,0.00003,25.88,FALSE,FALSE,,,,1996239.5,TRUE
2020-10-09,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00041,0.00003,0.00059,0.00005,26.39,FALSE,FALSE,,,,1758630.73,TRUE
2020-10-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0005,0.00005,0.00101,0.00022,26.053,FALSE,FALSE,,,,4218115.29,TRUE
2020-10-11,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00082,0.0002,0.00113,0.00068,28.336,FALSE,FALSE,,,,1142393.29,TRUE
2020-10-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0015,0.00015,0.00154,0.00017,28.016,FALSE,FALSE,,,,1954567.94,TRUE
2020-10-13,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00084,0.00007,0.00099,0.00009,27.951,FALSE,FALSE,,,,,TRUE
2020-10-14,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00068,0.00011,0.00056,0.00007,26.022,FALSE,FALSE,,,,3645859.8,TRUE
2020-10-15,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0003,0.00002,0.0004,0.00002,26.261,FALSE,FALSE,,,,1712047.43,TRUE
2020-10-16,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00055,0.00009,0.00066,0.00006,26.916,FALSE,FALSE,,,,2404815.98,TRUE
2020-10-17,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00072,0.00008,0.00082,0.0001,27.052,FALSE,FALSE,,,,2596016.77,TRUE
2020-10-18,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00041,0.00005,0.00046,0.00007,25.39,FALSE,FALSE,,,,4035884.21,TRUE
2020-10-19,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00038,0.00003,0.00057,0.00011,25.9,FALSE,FALSE,,,,2162302.09,TRUE
2020-10-20,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00108,0.00004,0.00143,0.00021,27.637,FALSE,FALSE,,,,2724846.13,TRUE
2020-10-21,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00025,0.00002,0.00022,0.00004,26.363,FALSE,FALSE,,,,733062.34,TRUE
2020-10-22,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00093,0.00025,0.00053,0.0001,26.14,FALSE,FALSE,,,,2752565.24,TRUE
2020-10-23,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00081,0.00004,0.00068,0.00007,25.94,FALSE,FALSE,,,,3534103.04,TRUE
2020-10-24,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00165,0.00022,0.00102,0.00017,26.327,FALSE,FALSE,,,,5031814.78,TRUE
2020-10-25,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00032,0.00003,0.00036,0.00004,25.62,FALSE,FALSE,,,,2645554.43,TRUE
2020-10-26,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00089,0,0.00063,0.00012,26.48,FALSE,FALSE,,,,2651744.01,TRUE
2020-10-27,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00032,0.00005,0.00047,0.00007,25.997,FALSE,FALSE,,,,2820118.5,TRUE
2020-10-28,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00025,0.00005,0.00037,0.00005,26.527,FALSE,FALSE,,,,1451303.26,TRUE
2020-10-29,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00038,0.00011,0.0006,0.00003,26.84,FALSE,FALSE,,,,2059003.03,TRUE
2020-10-30,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00031,0.00004,0.00037,0.00012,27.399,FALSE,FALSE,,,,,TRUE
2020-10-31,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0005,NA,0.00048,0.00015,27.702,FALSE,FALSE,,,,,TRUE
2020-11-01,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00054,0.00007,0.00072,0.00001,30.612,FALSE,FALSE,,,,450486.97,TRUE
2020-11-02,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00034,0.00003,0.00025,0.00001,27.563,FALSE,FALSE,,,,2259766.46,TRUE
2020-11-03,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00021,0.00002,0.00016,0.00002,28.11,FALSE,FALSE,,,,1824234.39,TRUE
2020-11-04,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00033,0.00003,0.00023,0,28.157,FALSE,FALSE,,,,2530914.16,TRUE
2020-11-05,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00094,0,0.00064,0.00005,28.723,FALSE,FALSE,,,,1211637.24,TRUE
2020-11-06,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0007,0.00011,0.00053,0.00005,27.98,FALSE,FALSE,,,,1843872.02,TRUE
2020-11-07,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00104,0.00011,0.00056,0.00005,28.073,FALSE,FALSE,,,,2456859.17,TRUE
2020-11-08,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00035,0.00003,0.00044,0.00004,26.454,FALSE,FALSE,,,,1460756.31,TRUE
2020-11-09,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00041,0.00003,0.00046,0.00007,26.086,FALSE,FALSE,,,,3051246.86,TRUE
2020-11-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0022,0.00008,0.00036,0.00004,28.09,FALSE,FALSE,,,,626438.79,TRUE
2020-11-11,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00029,0.00002,0.00045,0.00003,26.058,FALSE,FALSE,,,,3603598.12,TRUE
2020-11-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00046,0.00004,0.00026,0.00002,25.911,FALSE,FALSE,,,,3794494.99,TRUE
2020-11-13,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0004,0.00005,0.00027,0.00007,26.718,FALSE,FALSE,,,,1080666.81,TRUE
2020-11-14,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0005,0.00006,0.00038,0.00006,26.069,FALSE,FALSE,,,,5757522.72,TRUE
2020-11-15,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00027,0.00004,0.00034,0.00005,25.993,FALSE,FALSE,,,,2727992.2,TRUE
2020-11-16,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00066,0.00008,0.0008,0.00016,27.247,FALSE,FALSE,,,,701936.73,TRUE
2020-11-17,Ottawa-1,Ottawa-ROPEC,2020-11-19,0.00016,0.00005,0.00032,0.00005,26.875,FALSE,FALSE,,,,159275.05,TRUE
2020-11-18,Ottawa-1,Ottawa-ROPEC,2020-11-20,0.0003,0.00009,0.00025,0.00004,27.355,FALSE,FALSE,,,,261438.73,TRUE
2020-11-19,Ottawa-1,Ottawa-ROPEC,2020-11-23,0.00018,0.00004,0.00012,0.00003,24.515,FALSE,FALSE,,,,3865791.46,TRUE
2020-11-20,Ottawa-1,Ottawa-ROPEC,2020-11-23,0.00038,0.0001,0.00012,0.00004,26.299,FALSE,FALSE,,,,783949.49,TRUE
2020-11-21,Ottawa-1,Ottawa-ROPEC,2020-11-23,0.00032,0,0.0004,0.00001,25.479,FALSE,FALSE,,,,6774788.82,TRUE
2020-11-22,Ottawa-1,Ottawa-ROPEC,2020-11-24,0.00033,0.00006,0.00046,0.00002,27.493,FALSE,FALSE,,,,355478.22,TRUE
2020-11-23,Ottawa-1,Ottawa-ROPEC,2020-11-25,0.00032,0.00002,0.00035,0.00005,26.76,FALSE,FALSE,,,,1442753.52,TRUE
2020-11-24,Ottawa-1,Ottawa-ROPEC,2020-11-26,0.0008,0.00011,0.00105,0.0003,27.113,FALSE,FALSE,,,,3740103.84,TRUE
2020-11-25,Ottawa-1,Ottawa-ROPEC,2020-11-27,0.00015,0.00002,0.00035,0.00006,27.103,FALSE,FALSE,,,,452913.56,TRUE
2020-11-26,Ottawa-1,Ottawa-ROPEC,2020-11-30,0.00026,0.00005,0.00034,0.00009,26.47,FALSE,FALSE,,,,1769311.35,TRUE
2020-11-27,Ottawa-1,Ottawa-ROPEC,2020-11-30,0.00027,0.00007,0.00036,0.00009,26.267,FALSE,FALSE,,,,1965499.7,TRUE
2020-11-28,Ottawa-1,Ottawa-ROPEC,2020-11-30,0.00023,0.00003,0.00031,0.00003,26.46,FALSE,FALSE,,,,1509391.38,TRUE
2020-11-29,Ottawa-1,Ottawa-ROPEC,2020-12-01,0.00038,0.00002,0.00054,0.00002,27.129,FALSE,FALSE,,,,1405833.33,TRUE
2020-11-30,Ottawa-1,Ottawa-ROPEC,2020-12-02,0.00021,0.00002,0.00031,0.00004,25.397,FALSE,FALSE,,,,4905628.39,TRUE
2020-12-01,Ottawa-1,Ottawa-ROPEC,2020-12-03,0.00007,0.00001,0.0001,0.00001,27.116,FALSE,FALSE,,,,756046.65,TRUE
2020-12-02,Ottawa-1,Ottawa-ROPEC,2020-12-04,0.00007,0.00001,0.00007,0.00001,25.961,FALSE,FALSE,,,,3694629.49,TRUE
2020-12-03,Ottawa-1,Ottawa-ROPEC,2020-12-07,0.00006,0.00001,0.00008,0.00002,26.29,FALSE,FALSE,,,,1699295.12,TRUE
2020-12-04,Ottawa-1,Ottawa-ROPEC,2020-12-07,0.00007,0.00001,0.00014,0.00002,26.2,FALSE,FALSE,,,,3367919.97,TRUE
2020-12-05,Ottawa-1,Ottawa-ROPEC,2020-12-07,0.00007,0,0.00015,0.00001,26.19,FALSE,FALSE,,,,4304646.81,TRUE
2020-12-06,Ottawa-1,Ottawa-ROPEC,2020-12-08,0.00068,0.00014,0.00082,0.00007,26.973,FALSE,FALSE,,,,3379882.6,TRUE
2020-12-07,Ottawa-1,Ottawa-ROPEC,2020-12-09,0.0001,0,0.00008,0.00001,26.47,FALSE,FALSE,,,,1968137.98,TRUE
2020-12-08,Ottawa-1,Ottawa-ROPEC,2020-12-10,0.00014,0.00002,0.00017,0.00001,27.32,FALSE,FALSE,,,,1141190.59,TRUE
2020-12-09,Ottawa-1,Ottawa-ROPEC,2020-12-11,0.00018,0.00003,0.00013,0.00002,27.687,FALSE,FALSE,,,,748283.25,TRUE
2020-12-10,Ottawa-1,Ottawa-ROPEC,2020-12-14,0.00029,0.00002,0.00039,0.00009,27.23,FALSE,FALSE,,,,948037.7,TRUE
2020-12-11,Ottawa-1,Ottawa-ROPEC,2020-12-14,0.00021,0.00005,0.00032,0.00002,26.357,FALSE,FALSE,,,,1800673.89,TRUE
2020-12-12,Ottawa-1,Ottawa-ROPEC,2020-12-14,0.00031,0.00005,0.00047,0.00005,26.623,FALSE,FALSE,,,,3012978.71,TRUE
2020-12-13,Ottawa-1,Ottawa-ROPEC,2020-12-15,0.00028,0.00006,0.0003,0.00009,26.58,FALSE,FALSE,,,,2218770.01,TRUE
2020-12-14,Ottawa-1,Ottawa-ROPEC,2020-12-16,0.00033,0.00003,0.00037,0.00005,26.747,FALSE,FALSE,,,,2282101.57,TRUE
2020-12-15,Ottawa-1,Ottawa-ROPEC,2020-12-17,0.00023,0.00005,0.00015,0.00006,26.307,FALSE,FALSE,,,,1235021.12,TRUE
2020-12-16,Ottawa-1,Ottawa-ROPEC,2020-12-19,0.00037,0.0002,0.0005,0.00024,28.832,FALSE,FALSE,,,,122573.77,TRUE
2020-12-17,Ottawa-1,Ottawa-ROPEC,2020-12-21,0.00024,0.00001,0.00027,0.00002,26.853,FALSE,FALSE,,,,478883.82,TRUE
2020-12-18,Ottawa-1,Ottawa-ROPEC,2020-12-21,0.00038,0.00002,0.00043,0.00007,26.773,FALSE,FALSE,,,,1294972.25,TRUE
2020-12-19,Ottawa-1,Ottawa-ROPEC,2020-12-21,0.00031,0.00002,0.00044,0.00004,25.853,FALSE,FALSE,,,,3690714.14,TRUE
2020-12-20,Ottawa-1,Ottawa-ROPEC,2020-12-22,0.00038,0.00005,0.00046,0.00017,26.813,FALSE,FALSE,,,,681673.08,TRUE
2020-12-21,Ottawa-1,Ottawa-ROPEC,2020-12-23,0.0003,0.00006,0.0004,0.00002,26.34,FALSE,FALSE,,,,1457074.31,TRUE
2020-12-22,Ottawa-1,Ottawa-ROPEC,2020-12-28,0.00006,0.00002,0.00008,0.00002,25.147,FALSE,FALSE,,,,343853.86,TRUE
2020-12-23,Ottawa-1,Ottawa-ROPEC,2020-12-28,0.00082,0.00027,0.00028,0.00008,27.013,FALSE,FALSE,,,,2479146.86,TRUE
2020-12-24,Ottawa-1,Ottawa-ROPEC,2020-12-28,0.00074,0.00013,0.00092,0.00024,27.14,FALSE,FALSE,,,,5720044.98,TRUE
2020-12-25,Ottawa-1,Ottawa-ROPEC,2020-12-28,0.00068,0.00018,0.00063,0.00011,28.39,FALSE,FALSE,,,,836618.48,TRUE
2020-12-26,Ottawa-1,Ottawa-ROPEC,2020-12-28,0.0005,0.00005,0.00045,0.00002,27.967,FALSE,FALSE,,,,915997.77,TRUE
2020-12-27,Ottawa-1,Ottawa-ROPEC,2020-12-31,0.00019,0.00002,0.00036,0.00013,27.893,FALSE,FALSE,,,,366909.45,TRUE
2020-12-28,Ottawa-1,Ottawa-ROPEC,2020-12-31,0.00057,0.00016,0.00053,0.00004,28.273,FALSE,FALSE,,,,765287.91,TRUE
2020-12-29,Ottawa-1,Ottawa-ROPEC,2020-12-31,0.00039,0.00011,0.00064,0.00011,28.37,FALSE,FALSE,,,,608407.11,TRUE
2020-12-30,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.00048,0.00006,0.0004,0.00007,26.405,FALSE,FALSE,,,,2279508.24,TRUE
2020-12-31,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.0004,0.00001,0.00041,0.00006,26.433,FALSE,FALSE,,,,1922931.31,TRUE
2021-01-01,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.00074,0.00006,0.00051,0.00003,26.732,FALSE,FALSE,,,,3051158.03,TRUE
2021-01-02,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.00072,0.00007,0.00056,0.00002,26.749,FALSE,FALSE,,,,3059543.79,TRUE
2021-01-03,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.00042,0.00002,0.00051,0.00003,26.484,FALSE,FALSE,,,,2234589.71,TRUE
2021-01-04,Ottawa-1,Ottawa-ROPEC,2021-01-06,0.00069,0.00006,0.0006,0.0001,27.287,FALSE,FALSE,,,,2492774.44,TRUE
2021-01-05,Ottawa-1,Ottawa-ROPEC,2021-01-07,0.00055,0.00019,0.00057,0.00009,27.634,FALSE,FALSE,,,,1323559.14,TRUE
2021-01-06,Ottawa-1,Ottawa-ROPEC,2021-01-08,0.00069,0.0001,0.00089,0.0002,27.443,FALSE,FALSE,,,,3579106.26,TRUE
