uWwMeasureID,wwMeasureID,sampleID,labID,assayID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,aggregation,aggregationOther,index,value,qualityFlag,accessToPublic,accessToAllOrg,accessToSelf,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
,,,Ottawa-1,,,,2020-06-26,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-26,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28.28,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-27,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00008,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-27,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-27,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-27,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-27,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-30,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-30,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-30,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00005,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-30,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-06-30,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28.57,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-07,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-07,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-07,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-07,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-07,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-09,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-09,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-09,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-09,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-09,2020-11-16,solid,nPMMoV,,Ct,,mean,,,24.58,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-12,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-12,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-12,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-12,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-12,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.77,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-13,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-13,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-13,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-13,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-13,2020-11-16,solid,nPMMoV,,Ct,,mean,,,25.74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-15,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00008,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-15,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-15,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-15,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-15,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.17,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-17,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00026,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-17,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00009,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-17,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.0003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-17,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00011,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-17,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28.17,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-19,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00026,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-19,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00009,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-19,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00035,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-19,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-19,2020-11-16,solid,nPMMoV,,Ct,,mean,,,28.27,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-21,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00009,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-21,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-21,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-21,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-21,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-23,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00014,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-23,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-23,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00022,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-23,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00006,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-23,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.43,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-25,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00024,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-25,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-25,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00009,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-25,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00004,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-25,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.76,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-27,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00016,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-27,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00005,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-27,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00014,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-27,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-27,2020-11-16,solid,nPMMoV,,Ct,,mean,,,27.38,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-29,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00014,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-29,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-29,2020-11-16,solid,covN2,,gcPMMoV,,meanNr,,,0.00009,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-29,2020-11-16,solid,covN2,,gcPMMoV,,sdNr,,,0.00003,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-29,2020-11-16,solid,nPMMoV,,Ct,,mean,,,26.84,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-31,2020-11-16,solid,covN1,,gcPMMoV,,meanNr,,,0.00007,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
,,,Ottawa-1,,,,2020-07-31,2020-11-16,solid,covN1,,gcPMMoV,,sdNr,,,0.00002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
