wideName,label,charLength,descr,source,wideMeasure,wideProtocol,wideAttribute,wideNameType,reportTableName,reportTableInput,partTypeName,partTypeInput,compartmentName,compartmentInput,specimenName,specimenInput,fractionName,fractionInput,measureName,measureInput,methodName,methodInput,unitName,unitInput,aggregationName,aggregationInput,index,attributeName,attributeInput,tag
mr_aggregation,Aggregation,14,The aggregation of a measure in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,mr_aggregation,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Aggregation,aggregation,
wat_sit_nr_cod_mgL_me_NR_value,Chemical Oxygen Demand (mg/l),30,Chemical oxygen demand in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sit_nr_cod_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Chemical Oxygen Demand,cod,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_bod5t_mgL_me_NR_value,Biochemical Oxygen Demand (mg/l),32,Biochemical oxygen demand in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sit_nr_bod5t_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,5-day total biochemical oxygen demand,bod5t,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_cond_uSCm_me_NR_value,Water conductivity (µS/cm),32,Wastewater or water conductivity  in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sit_nr_cond_uSCm_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Water conductivity,cond,,0,Micro-Siemens per centimetre,uSCm,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_ph_unitless_me_NR_value,pH,34,pH of a site in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sit_nr_ph_unitless_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,pH,ph,,0,Unitless measure,unitless,Arithmetic mean,me,NR,Value,value,
wat_sit_nr_tn_mgL_me_NR_value,Nitrogen concentration (mg/l),29,Notal nitrogen concentration at a site in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sit_nr_tn_mgL_me_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Site,sit,Not reported,nr,Total Nitrogen,tn,,0,Milligrams per litre,mgL,Arithmetic mean,me,NR,Value,value,
wat_sa_nr_lodSewa_gc_sin_NR_value,Limit of Detection (gc),33,Limit of Detection of a wastewater sample in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sa_nr_lodSewa_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of detection (LOD) - sewage,lodSewa,,0,Gene copies,gc,Single,sin,NR,Value,value,
wat_sa_nr_loq_gc_sin_NR_value,Limit of Quantification (gc),29,Limit of quantification in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,wat_sa_nr_loq_gc_sin_NR_value,NA,NA,measurements,,0,,0,Water compartment,wat,Sample,sa,Not reported,nr,Limit of quantification (LOQ),loq,,0,Gene copies,gc,Single,sin,NR,Value,value,
mr_reportDate,Report date,13,Date that the measurement was reported to authorities in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,mr_reportDate,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Report date,reportDate,
co_email,Contact person email,8,Contact email address in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,co_email,attributes,Contact table Shorthand,co,,0,,0,,0,,0,,0,,0,,0,,0,,Contact email,email,
mr_notes,Notes,8,Notes on a measure in a wide or combined long-and-wide table. ,HPAIV H5N1 Template,NA,NA,mr_notes,attributes,Measure report table Shorthand,mr,,0,,0,,0,,0,,0,,0,,0,,0,,Notes,notes,
ad_country,address_country,10,Country where a site was.,EU4S Data ODM wide Template,NA,NA,ad_country,attributes,Address table Shorthand,ad,,0,,0,,0,,0,,0,,0,,0,,0,,Country,country,
ad_stateProvReg,address_zone,15,"State, province, or region where a site was.",EU4S Data ODM wide Template,NA,NA,ad_stateProvReg,attributes,Address table Shorthand,ad,,0,,0,,0,,0,,0,,0,,0,,0,,"State, Province, or Region",stateProvReg,
ad_city,address_city,7,City where a site was.,EU4S Data ODM wide Template,NA,NA,ad_city,attributes,Address table Shorthand,ad,,0,,0,,0,,0,,0,,0,,0,,0,,City,city,
sas_sampleID,sample_id,12,The unique identifier for a sample.,EU4S Data ODM wide Template,NA,NA,sas_sampleID,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Sample ID,sampleID,
sas_collDT,sample_collDT,10,Collection day and time of a sample.,EU4S Data ODM wide Template,NA,NA,sas_collDT,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Collection date time,collDT,
sas_collDTEnd,sample_collDTend,13,The day and time when sample collection ended.,EU4S Data ODM wide Template,NA,NA,sas_collDTEnd,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Collection date time end,collDTEnd,
sas_collDTStart,sample_collDTstart,15,The day and time when sample collection started.,EU4S Data ODM wide Template,NA,NA,sas_collDTStart,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Collection date time start,collDTStart,
sas_collPer,sample_collPer,11,The period of time in hours in which a composite sample was collected.,EU4S Data ODM wide Template,NA,NA,sas_collPer,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Collection period,collPer,
sas_collType,sample_collType,12,The type of collection done for a sample.,EU4S Data ODM wide Template,NA,NA,sas_collType,attributes,Sample report table Shorthand,sas,,0,,0,,0,,0,,0,,0,,0,,0,,Sample collection type,collType,
mr_valTreat__estimate_,measure_estimated,22,A true or false indicator of whether a measure is an estimate or not.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,,0,
mr_group,measure_hazard,8,The group (or main pathogen group) of a measure.,EU4S Data ODM wide Template,NA,NA,mr_group,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Group,group,
mr_measure,measure_assay,10,The detailed type of measure that's been taken,EU4S Data ODM wide Template,NA,NA,mr_measure,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Measure,measure,
wat_sa_nr_hMe_hUn_hAg_NR_value.odm1,measure_value,35,"The value of the measure indicated in ""mr_measure"", if numeric.",EU4S Data ODM wide Template,wat_sa_nr_hMe_hUn_hAg_NR_value.odm1,NA,NA,measurements,,0,,,Water compartment,wat,Sample,sa,Not reported,nr,See Header for Measure,hMe,,0,See Header for Unit,hUn,See Header for Aggregation,hAg,NR,Value,value,1
wat_sa_nr_hMe_hUn_hAg_NR_value.odm1,measure_value_alpha,35,"The value of the measure indicated in ""mr_measure"", if a string.",EU4S Data ODM wide Template,wat_sa_nr_hMe_hUn_hAg_NR_value.odm1,NA,NA,measurements,,0,,,Water compartment,wat,Sample,sa,Not reported,nr,See Header for Measure,hMe,,0,See Header for Unit,hUn,See Header for Aggregation,hAg,NR,Value,value,1
mr_name.odm1,measure_name,12,The name of the measure.,EU4S Data ODM wide Template,NA,NA,mr_name.odm1,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Name,name,1
mr_unit.odm1,measure_value_measunit,12,The unit for the measure.,EU4S Data ODM wide Template,NA,NA,mr_unit.odm1,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Unit,unit,1
cl_2_AND_standard_calcType__standardization_,measure_value_normalization_method,44,The standard for use of standardization of the main measure.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
mr_aggregation,measure_aggregation,14,The aggregation for the measure.,EU4S Data ODM wide Template,NA,NA,mr_aggregation,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Aggregation,aggregation,
mr_notes,measure_notes,8,Any additional notes for a measure.,EU4S Data ODM wide Template,NA,NA,mr_notes,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Notes,notes,
mr_reportDate,measure_reportDate,13,The date a measure was reported.,EU4S Data ODM wide Template,NA,NA,mr_reportDate,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Report date,reportDate,
mr_measureRepID,measure_measureRepID,15,The unique identifier for a measure.,EU4S Data ODM wide Template,NA,NA,mr_measureRepID,attributes,Measure report table Shorthand,mr,,,,0,,0,,0,,0,,0,,0,,0,,Measure Report ID,measureRepID,
pro_name,protocol_name,8,The name of the protocol.,EU4S Data ODM wide Template,NA,NA,pro_name,attributes,Protocols table Shorthand,pro,,,,0,,0,,0,,0,,0,,0,,0,,Name,name,
pro_protocolID,protocol_protocol_ID,14,The unique identifier for a protocol.,EU4S Data ODM wide Template,NA,NA,pro_protocolID,attributes,Protocols table Shorthand,pro,,,,0,,0,,0,,0,,0,,0,,0,,Protocol ID,protocolID,
pro_protocolVersion,protocol_protocolVersion,19,The version of a protocol.,EU4S Data ODM wide Template,NA,NA,pro_protocolVersion,attributes,Protocols table Shorthand,pro,,,,0,,0,,0,,0,,0,,0,,0,,Protocol version,protocolVersion,
qr_notes,qualityReports_notes,8,Any additional notes on a quality issue for a measure.,EU4S Data ODM wide Template,NA,NA,qr_notes,attributes,Quality reports table Shorthand,qr,,,,0,,0,,0,,0,,0,,0,,0,,Notes,notes,
qr_qualityFlag,qualityReports_qualityFlag,14,A quality indicator for a measure.,EU4S Data ODM wide Template,NA,NA,qr_qualityFlag,attributes,Quality reports table Shorthand,qr,,,,0,,0,,0,,0,,0,,0,,0,,Quality flag,qualityFlag,
in_2_AND_name_insType__flowmeter_,instrument_name_flowmeter,33,The name of the flow meter.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
in_2_AND_name_insType__sampler_,instrument_name_sampler,31,The name of the sampler.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
or_2_AND_name_orgType__lab_,organization_name_Lab,27,The name of the testing lab.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
or_2_AND_name_orgType__wwAgency_,organization_name_WWagency,32,The name of the wastewater agency.,EU4S Data ODM wide Template,NA,NA,NA,exceptions,,0,,,,0,,0,,0,,0,,0,,0,,0,,,0,
